time_s,scenario_name,action_type,status,detail,payload
69,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
70,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
71,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
72,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
73,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
74,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
75,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
76,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
77,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
78,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
79,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
80,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
81,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
82,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
83,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
84,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
85,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
86,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
87,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
88,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
89,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
90,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
91,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
92,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
93,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
94,CPRForceScaleMax,ChestCompressionForceScaleData,APPLIED,Action accepted by backend,"{""ForcePeriod"": {""unit"": ""s"", ""value"": 0.2}, ""ForceScale"": {""unit"": null, ""value"": 1.0}}"
