time_s,scenario_name,action_type,status,detail,payload
30,HemorrhageClass4NoFluid,HemorrhageData,APPLIED,Action accepted by backend,"{""compartment"": ""Aorta"", ""duration"": null, ""duration_unit"": ""s"", ""rate"": 150.0, ""rate_unit"": ""mL/min""}"
1830,HemorrhageClass4NoFluid,HemorrhageData,APPLIED,Action accepted by backend,"{""compartment"": ""Aorta"", ""duration"": null, ""duration_unit"": ""s"", ""rate"": 0.0, ""rate_unit"": ""mL/min""}"
