time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
8278,71.24190965431978,71.24190965431978,0.0,90.47030324654096,90.47030324654096,0.0,5.005401388262227,5.005401388262227,0.0,5.201957264080826,5.201957264080826,0.0,15.519488807386786,15.519488807386786,0.0
8279,71.44669884313308,71.44669884313308,0.0,90.97340803587193,90.97340803587193,0.0,5.00284778153406,5.00284778153406,0.0,5.203809082018292,5.203809082018292,0.0,15.454258114202048,15.454258114202048,0.0
8280,71.20161305929255,71.20161305929255,0.0,90.56695867445241,90.56695867445241,0.0,4.966940150601346,4.966940150601346,0.0,5.20652317701459,5.20652317701459,0.0,15.34375116282222,15.34375116282222,0.0
8281,71.60539920446638,71.60539920446638,0.0,90.49134655516482,90.49134655516482,0.0,4.966371121250976,4.966371121250976,0.0,5.202000314604634,5.202000314604634,0.0,15.319702401463182,15.319702401463182,0.0
8282,71.56734260306567,71.56734260306567,0.0,90.23154079656763,90.23154079656763,0.0,4.9585138471953405,4.9585138471953405,0.0,5.206246490507097,5.206246490507097,0.0,15.224942785428603,15.224942785428603,0.0
8283,71.98390134296906,71.98390134296906,0.0,90.52211554277196,90.52211554277196,0.0,4.948414606343444,4.948414606343444,0.0,5.201140994409397,5.201140994409397,0.0,15.231978767726268,15.231978767726268,0.0
8284,71.87976826138046,71.87976826138046,0.0,90.7020793265155,90.7020793265155,0.0,4.979604079626573,4.979604079626573,0.0,5.204366786398015,5.204366786398015,0.0,15.21336878556643,15.21336878556643,0.0
8285,72.27069325118553,72.27069325118553,0.0,90.89097020259543,90.89097020259543,0.0,4.964580196128465,4.964580196128465,0.0,5.205823530501034,5.205823530501034,0.0,15.246023394993994,15.246023394993994,0.0
8286,72.1334298242531,72.1334298242531,0.0,90.63460553898153,90.63460553898153,0.0,4.991140092216478,4.991140092216478,0.0,5.209803808679388,5.209803808679388,0.0,15.292755266833883,15.292755266833883,0.0
8287,72.36698696049343,72.36698696049343,0.0,90.74195734355608,90.74195734355608,0.0,4.953755461214996,4.953755461214996,0.0,5.209243032427214,5.209243032427214,0.0,15.315846096167167,15.315846096167167,0.0
