time_s,scenario_name,action_type,status,detail,payload
30,HemorrhageClass2Blood,HemorrhageData,APPLIED,Action accepted by backend,"{""compartment"": ""Aorta"", ""duration"": null, ""duration_unit"": ""s"", ""rate"": 100.0, ""rate_unit"": ""mL/min""}"
930,HemorrhageClass2Blood,HemorrhageData,APPLIED,Action accepted by backend,"{""compartment"": ""Aorta"", ""duration"": null, ""duration_unit"": ""s"", ""rate"": 0.0, ""rate_unit"": ""mL/min""}"
1050,HemorrhageClass2Blood,SubstanceCompoundInfusionData,APPLIED,Action accepted by backend,"{""bag_unit"": ""mL"", ""bag_volume"": 500.0, ""compound"": ""Blood_ONegative"", ""rate"": 100.0, ""rate_unit"": ""mL/min""}"
