time_s,scenario_A_heart_rate_bpm,scenario_B_heart_rate_bpm,delta_heart_rate_bpm,scenario_A_map_mmhg,scenario_B_map_mmhg,delta_map_mmhg,scenario_A_cardiac_output_l_min,scenario_B_cardiac_output_l_min,delta_cardiac_output_l_min,scenario_A_blood_volume_l,scenario_B_blood_volume_l,delta_blood_volume_l,scenario_A_systemic_vascular_resistance,scenario_B_systemic_vascular_resistance,delta_systemic_vascular_resistance
793,71.72807613342808,71.72807613342808,0.0,88.39063311295102,88.39063311295102,0.0,4.99563959493084,4.99563959493084,0.0,5.193346214365326,5.193346214365326,0.0,15.34808100185478,15.34808100185478,0.0
794,71.8775523441425,71.8775523441425,0.0,88.83922967818273,88.83922967818273,0.0,4.996320178105759,4.996320178105759,0.0,5.196997150291676,5.196997150291676,0.0,15.395306443893169,15.395306443893169,0.0
795,72.20269015786008,72.20269015786008,0.0,89.4096983366969,89.4096983366969,0.0,4.959167315601283,4.959167315601283,0.0,5.197786638413852,5.197786638413852,0.0,15.461041524884006,15.461041524884006,0.0
796,71.88731521020122,71.88731521020122,0.0,89.78995449802312,89.78995449802312,0.0,4.931626649678262,4.931626649678262,0.0,5.1967856802536545,5.1967856802536545,0.0,15.357400939755596,15.357400939755596,0.0
797,71.9977002118677,71.9977002118677,0.0,89.6551560239633,89.6551560239633,0.0,4.9199575183278546,4.9199575183278546,0.0,5.193570174612231,5.193570174612231,0.0,15.264264785413161,15.264264785413161,0.0
798,72.32590540758186,72.32590540758186,0.0,89.64979613814363,89.64979613814363,0.0,4.9071535235701385,4.9071535235701385,0.0,5.190470040332926,5.190470040332926,0.0,15.2491970736377,15.2491970736377,0.0
799,72.50691282711296,72.50691282711296,0.0,89.70735246897237,89.70735246897237,0.0,4.935924352536085,4.935924352536085,0.0,5.191470068671684,5.191470068671684,0.0,15.309100477675912,15.309100477675912,0.0
800,72.81157376087269,72.81157376087269,0.0,89.6798906004651,89.6798906004651,0.0,4.97909663301518,4.97909663301518,0.0,5.196323205530946,5.196323205530946,0.0,15.23018635638983,15.23018635638983,0.0
801,72.71033263489248,72.71033263489248,0.0,89.6215616756062,89.6215616756062,0.0,4.96728714026579,4.96728714026579,0.0,5.20041356700117,5.20041356700117,0.0,15.132575923896615,15.132575923896615,0.0
802,72.79391918315675,72.79391918315675,0.0,89.77465636195625,89.77465636195625,0.0,4.964542085921134,4.964542085921134,0.0,5.199810544879998,5.199810544879998,0.0,15.053150023718615,15.053150023718615,0.0
803,72.96531012521602,72.96531012521602,0.0,89.82235521664182,89.82235521664182,0.0,4.991590948711614,4.991590948711614,0.0,5.195893407203453,5.195893407203453,0.0,14.9999757074327,14.9999757074327,0.0
804,73.00028707275828,73.00028707275828,0.0,89.7089771982419,89.7089771982419,0.0,4.99807382671535,4.99807382671535,0.0,5.19353086572171,5.19353086572171,0.0,14.939924094082507,14.939924094082507,0.0
